aX,aY,aZ,proximity,label
0.478,0.5,1.0015,0.6666666666666666,0
0.802,0.8725,0.4085,0.0,1
0.8454999999999999,0.81,0.626,0.0,1
0.889,0.7869999999999999,0.46699999999999997,0.00392156862745098,1
0.4505,0.502,1.071,0.9529411764705882,0
0.5125,0.485,1.0095,0.803921568627451,0
0.8594999999999999,0.8265,0.446,0.0,1
0.8009999999999999,0.862,0.6345000000000001,0.0,1
0.9339999999999999,0.756,0.4725,0.0,1
0.449,0.378,0.999,0.9607843137254902,0
0.493,0.448,0.9995,0.9019607843137255,0
0.877,0.8140000000000001,0.4455,0.050980392156862744,1
0.4785,0.7035,0.973,0.9607843137254902,0
0.8145,0.8415,0.34199999999999997,0.0,1
0.447,0.27249999999999996,0.948,0.9529411764705882,0
0.889,0.743,0.29400000000000004,0.0,1
0.898,0.75,0.38,0.19215686274509805,1
0.835,0.7975,0.29300000000000004,0.15294117647058825,1
0.4305,0.264,0.948,0.9568627450980393,0
0.4625,0.4365,1.008,0.6549019607843137,0
0.532,0.658,0.9895,0.9686274509803922,0
0.495,0.585,1.014,0.9647058823529412,0
0.4975,0.992,0.531,0.7490196078431373,0
0.875,0.815,0.454,0.0,1
0.869,0.757,0.3,0.403921568627451,1
0.884,0.7745,0.362,0.0,1
0.904,0.747,0.373,0.29411764705882354,1
0.4765,0.501,1.0065,0.7098039215686275,0
0.477,0.399,1.024,0.9647058823529412,0
0.837,0.7865,0.29000000000000004,0.1450980392156863,1
0.507,0.009500000000000008,0.588,0.8862745098039215,0
0.444,0.34199999999999997,0.9844999999999999,0.9607843137254902,0
0.4775,0.5085,1.0190000000000001,0.9568627450980393,0
0.904,0.7384999999999999,0.34099999999999997,0.0,1
0.7995,0.8725,0.3895,0.0,1
0.484,0.4335,1.001,0.8313725490196079,0
0.4745,0.5125,0.9530000000000001,0.9647058823529412,0
0.5155,0.5035,1.0015,0.27058823529411763,0
0.8245,0.7975,0.277,0.00392156862745098,1
0.8029999999999999,0.877,0.426,0.0,1
0.5185,0.484,1.008,0.7372549019607844,0
0.4805,0.4345,1.025,0.9568627450980393,0
0.9115,0.7455,0.355,0.18823529411764706,1
0.8485,0.854,0.5565,0.0,1
0.46950000000000003,0.3925,1.0245,0.8862745098039215,0
0.8005,0.8645,0.6395,0.0,1
0.7985,0.853,0.669,0.0,1
0.8734999999999999,0.75,0.3035,0.054901960784313725,1
0.877,0.7444999999999999,0.3065,0.43137254901960786,1
0.501,0.478,0.984,0.9647058823529412,0
0.4975,0.9875,0.5685,0.8588235294117647,0
0.4545,0.33999999999999997,1.0415,0.9607843137254902,0
0.881,0.81,0.463,0.0,1
0.5015,0.983,0.5535,0.8196078431372549,0
0.4935,0.3295,0.972,0.9647058823529412,0
0.49,0.458,1.009,0.5098039215686274,0
0.47,0.9099999999999999,0.7565,0.9607843137254902,0
0.839,0.8345,0.6174999999999999,0.0,1
0.8385,0.849,0.603,0.0,1
0.808,0.8465,0.33699999999999997,0.0,1
0.827,0.8454999999999999,0.621,0.0,1
0.887,0.7985,0.4365,0.0,1
0.837,0.7989999999999999,0.314,0.00784313725490196,1
0.491,0.996,0.582,0.8823529411764706,0
0.9145,0.7395,0.361,0.14901960784313725,1
0.5125,0.505,1.002,0.0,0
0.4975,0.9915,0.536,0.7568627450980392,0
0.4625,0.422,0.9904999999999999,0.6980392156862745,0
0.8554999999999999,0.7625,0.2485,0.03529411764705882,1
0.856,0.8415,0.458,0.0,1
0.485,0.433,0.998,0.9411764705882353,0
0.4465,0.33899999999999997,0.9510000000000001,0.9725490196078431,0
0.473,0.4485,0.9804999999999999,0.8352941176470589,0
0.484,0.4955,1.001,0.19215686274509805,0
0.846,0.8300000000000001,0.6265000000000001,0.0,1
0.9,0.761,0.3685,0.0,1
0.4825,0.27649999999999997,0.944,0.9647058823529412,0
0.47050000000000003,0.27,1.0270000000000001,0.9607843137254902,0
0.8795,0.8089999999999999,0.4715,0.0196078431372549,1
0.798,0.855,0.656,0.0,1
0.497,0.991,0.5265,0.7254901960784313,0
0.9119999999999999,0.745,0.3735,0.16470588235294117,1
0.4475,0.405,0.99,0.9450980392156862,0
0.8785000000000001,0.751,0.3215,0.43137254901960786,1
0.464,0.4145,1.0015,0.6823529411764706,0
0.7905,0.8875,0.4395,0.0,1
0.8674999999999999,0.794,0.374,0.027450980392156862,1
0.5245,0.4985,0.996,0.9647058823529412,0
0.489,0.439,0.992,0.8470588235294118,0
0.8985000000000001,0.7585,0.34950000000000003,0.0,1
0.8375,0.847,0.387,0.0,1
0.509,0.063,0.7325,0.9607843137254902,0
0.501,0.4255,0.995,0.7686274509803922,0
0.512,0.9775,0.588,0.8705882352941177,0
0.4825,0.4735,1.001,0.0,0
0.8109999999999999,0.856,0.635,0.17647058823529413,1
0.4625,0.4755,1.0295,0.9607843137254902,0
0.8435,0.7895,0.29200000000000004,0.011764705882352941,1
0.494,0.4325,0.983,0.9215686274509803,0
0.8694999999999999,0.7555000000000001,0.3045,0.396078431372549,1
0.9095,0.733,0.35550000000000004,0.0,1
0.8694999999999999,0.8225,0.4605,0.0,1
0.523,0.10349999999999998,0.792,0.9607843137254902,0
0.49,0.9225,0.77,0.9490196078431372,0
0.821,0.8594999999999999,0.585,0.0,1
0.896,0.757,0.367,0.43529411764705883,1
0.8175,0.8534999999999999,0.6165,0.0,1
0.479,0.554,0.9815,0.9607843137254902,0
0.9005000000000001,0.7195,0.31,0.19607843137254902,1
0.498,0.9915,0.539,0.7803921568627451,0
0.487,0.476,1.0005,0.0,0
0.532,0.4535,0.9585,0.9058823529411765,0
0.9005000000000001,0.711,0.3095,0.17254901960784313,1
0.47,0.4985,1.0030000000000001,0.9058823529411765,0
0.4795,0.4745,1.001,0.9450980392156862,0
0.4875,0.41100000000000003,0.995,0.9686274509803922,0
0.8340000000000001,0.7949999999999999,0.29100000000000004,0.16862745098039217,1
0.5205,0.4475,0.8745,0.9647058823529412,0
0.4815,0.4615,1.0,0.7725490196078432,0
0.428,0.677,0.9630000000000001,0.9490196078431372,0
0.885,0.8025,0.4785,0.19607843137254902,1
0.4765,0.494,0.9764999999999999,0.8352941176470589,0
0.9105,0.7695000000000001,0.4275,0.30980392156862746,1
0.487,0.4875,1.0015,0.7098039215686275,0
0.4935,0.4495,1.006,0.8313725490196079,0
0.8335,0.851,0.4605,0.0,1
0.5205,0.10349999999999998,0.7925,0.9607843137254902,0
0.4995,0.317,0.956,0.8509803921568627,0
0.9055,0.768,0.387,0.0,1
