DAC Voltage: 0.00 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.10 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.20 V, Sense Voltage: 0.14 V, Sense Current: 30.16 mA
DAC Voltage: 0.30 V, Sense Voltage: 0.26 V, Sense Current: 55.12 mA
DAC Voltage: 0.40 V, Sense Voltage: 0.36 V, Sense Current: 76.95 mA
DAC Voltage: 0.50 V, Sense Voltage: 0.46 V, Sense Current: 98.79 mA
DAC Voltage: 0.60 V, Sense Voltage: 0.56 V, Sense Current: 119.59 mA
DAC Voltage: 0.70 V, Sense Voltage: 0.66 V, Sense Current: 141.43 mA
DAC Voltage: 0.80 V, Sense Voltage: 0.76 V, Sense Current: 162.23 mA
DAC Voltage: 0.90 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 1.00 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 1.10 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 1.20 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 1.30 V, Sense Voltage: 0.77 V, Sense Current: 163.27 mA
DAC Voltage: 1.40 V, Sense Voltage: 0.72 V, Sense Current: 153.91 mA
DAC Voltage: 1.50 V, Sense Voltage: 0.73 V, Sense Current: 155.99 mA
DAC Voltage: 1.60 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 1.70 V, Sense Voltage: 0.77 V, Sense Current: 163.27 mA
DAC Voltage: 1.80 V, Sense Voltage: 0.76 V, Sense Current: 162.23 mA
DAC Voltage: 1.90 V, Sense Voltage: 0.72 V, Sense Current: 152.87 mA
DAC Voltage: 2.00 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 2.10 V, Sense Voltage: 0.74 V, Sense Current: 157.03 mA
DAC Voltage: 2.20 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 2.30 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 2.40 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 2.50 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 2.60 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 2.70 V, Sense Voltage: 0.78 V, Sense Current: 166.39 mA
DAC Voltage: 2.80 V, Sense Voltage: 0.79 V, Sense Current: 168.47 mA
DAC Voltage: 2.90 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 3.00 V, Sense Voltage: 0.79 V, Sense Current: 167.43 mA
DAC Voltage: 3.10 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 3.20 V, Sense Voltage: 0.79 V, Sense Current: 167.43 mA
DAC Voltage: 3.30 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 3.40 V, Sense Voltage: 0.74 V, Sense Current: 158.07 mA
DAC Voltage: 3.50 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 3.60 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 3.70 V, Sense Voltage: 0.75 V, Sense Current: 159.11 mA
DAC Voltage: 3.80 V, Sense Voltage: 0.79 V, Sense Current: 167.43 mA
DAC Voltage: 3.90 V, Sense Voltage: 0.79 V, Sense Current: 168.47 mA
DAC Voltage: 4.00 V, Sense Voltage: 0.77 V, Sense Current: 164.31 mA
DAC Voltage: 4.10 V, Sense Voltage: 0.78 V, Sense Current: 166.39 mA
DAC Voltage: 4.20 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 4.30 V, Sense Voltage: 0.75 V, Sense Current: 159.11 mA
DAC Voltage: 4.40 V, Sense Voltage: 0.76 V, Sense Current: 161.19 mA
DAC Voltage: 4.50 V, Sense Voltage: 0.79 V, Sense Current: 167.43 mA
DAC Voltage: 4.60 V, Sense Voltage: 0.79 V, Sense Current: 167.43 mA
DAC Voltage: 4.70 V, Sense Voltage: 0.72 V, Sense Current: 153.91 mA
DAC Voltage: 4.80 V, Sense Voltage: 0.78 V, Sense Current: 165.35 mA
DAC Voltage: 4.90 V, Sense Voltage: 0.74 V, Sense Current: 158.07 mA
DAC Voltage: 5.00 V, Sense Voltage: 0.76 V, Sense Current: 162.23 mA

