DAC Voltage: 0.00 V, Sense Voltage: -0.36 V, Sense Current: -75.58 mA
DAC Voltage: 0.10 V, Sense Voltage: -0.37 V, Sense Current: -77.66 mA
DAC Voltage: 0.20 V, Sense Voltage: -0.38 V, Sense Current: -81.82 mA
DAC Voltage: 0.30 V, Sense Voltage: -0.34 V, Sense Current: -72.46 mA
DAC Voltage: 0.40 V, Sense Voltage: -0.44 V, Sense Current: -94.30 mA
DAC Voltage: 0.50 V, Sense Voltage: -0.41 V, Sense Current: -88.06 mA
DAC Voltage: 0.60 V, Sense Voltage: -0.39 V, Sense Current: -83.90 mA
DAC Voltage: 0.70 V, Sense Voltage: -0.36 V, Sense Current: -75.58 mA
DAC Voltage: 0.80 V, Sense Voltage: -0.33 V, Sense Current: -70.38 mA
DAC Voltage: 0.90 V, Sense Voltage: -0.35 V, Sense Current: -74.54 mA
DAC Voltage: 1.00 V, Sense Voltage: -0.35 V, Sense Current: -74.54 mA
DAC Voltage: 1.10 V, Sense Voltage: -0.40 V, Sense Current: -84.94 mA
DAC Voltage: 1.20 V, Sense Voltage: -0.36 V, Sense Current: -75.58 mA
DAC Voltage: 1.30 V, Sense Voltage: -0.37 V, Sense Current: -77.66 mA
DAC Voltage: 1.40 V, Sense Voltage: -0.45 V, Sense Current: -95.34 mA
DAC Voltage: 1.50 V, Sense Voltage: -0.45 V, Sense Current: -96.38 mA
DAC Voltage: 1.60 V, Sense Voltage: -0.42 V, Sense Current: -89.10 mA
DAC Voltage: 1.70 V, Sense Voltage: -0.42 V, Sense Current: -89.10 mA
DAC Voltage: 1.80 V, Sense Voltage: -0.37 V, Sense Current: -78.70 mA
DAC Voltage: 1.90 V, Sense Voltage: -0.37 V, Sense Current: -77.66 mA
DAC Voltage: 2.00 V, Sense Voltage: -0.37 V, Sense Current: -77.66 mA
DAC Voltage: 2.10 V, Sense Voltage: -0.38 V, Sense Current: -81.82 mA
DAC Voltage: 2.20 V, Sense Voltage: -0.36 V, Sense Current: -76.62 mA
DAC Voltage: 2.30 V, Sense Voltage: -0.34 V, Sense Current: -72.46 mA
DAC Voltage: 2.40 V, Sense Voltage: -0.38 V, Sense Current: -80.78 mA
DAC Voltage: 2.50 V, Sense Voltage: -0.35 V, Sense Current: -73.50 mA
DAC Voltage: 2.60 V, Sense Voltage: -0.35 V, Sense Current: -73.50 mA
DAC Voltage: 2.70 V, Sense Voltage: -0.36 V, Sense Current: -75.58 mA
DAC Voltage: 2.80 V, Sense Voltage: -0.40 V, Sense Current: -84.94 mA
DAC Voltage: 2.90 V, Sense Voltage: -0.40 V, Sense Current: -85.98 mA
DAC Voltage: 3.00 V, Sense Voltage: -0.36 V, Sense Current: -75.58 mA
DAC Voltage: 3.10 V, Sense Voltage: -0.37 V, Sense Current: -79.74 mA
DAC Voltage: 3.20 V, Sense Voltage: -0.35 V, Sense Current: -73.50 mA
DAC Voltage: 3.30 V, Sense Voltage: -0.38 V, Sense Current: -80.78 mA
DAC Voltage: 3.40 V, Sense Voltage: -0.35 V, Sense Current: -74.54 mA
DAC Voltage: 3.50 V, Sense Voltage: -0.34 V, Sense Current: -72.46 mA
DAC Voltage: 3.60 V, Sense Voltage: -0.34 V, Sense Current: -72.46 mA
DAC Voltage: 3.70 V, Sense Voltage: -0.36 V, Sense Current: -76.62 mA
DAC Voltage: 3.80 V, Sense Voltage: -0.33 V, Sense Current: -70.38 mA
DAC Voltage: 3.90 V, Sense Voltage: -0.33 V, Sense Current: -69.34 mA
DAC Voltage: 4.00 V, Sense Voltage: -0.29 V, Sense Current: -61.02 mA
DAC Voltage: 4.10 V, Sense Voltage: -0.15 V, Sense Current: -31.90 mA
DAC Voltage: 4.20 V, Sense Voltage: 0.00 V, Sense Current: 0.33 mA
DAC Voltage: 4.30 V, Sense Voltage: 0.21 V, Sense Current: 45.05 mA
DAC Voltage: 4.40 V, Sense Voltage: 0.40 V, Sense Current: 84.57 mA
DAC Voltage: 4.50 V, Sense Voltage: 1.59 V, Sense Current: 337.26 mA
DAC Voltage: 4.60 V, Sense Voltage: 2.39 V, Sense Current: 508.85 mA
DAC Voltage: 4.70 V, Sense Voltage: 3.07 V, Sense Current: 652.36 mA
DAC Voltage: 4.80 V, Sense Voltage: 3.54 V, Sense Current: 752.19 mA
DAC Voltage: 4.90 V, Sense Voltage: 3.85 V, Sense Current: 818.74 mA
DAC Voltage: 5.00 V, Sense Voltage: 4.00 V, Sense Current: 850.98 mA
