time,aX,aY,aZ,proximity
180459,0.773,0.478,-0.397,-1
181015,0.780,0.437,-0.387,0
181603,0.777,0.471,-0.377,-1
182167,0.784,0.487,-0.389,41
182751,0.774,0.478,-0.361,-1
183365,0.783,0.428,-0.402,22
183961,0.796,0.425,-0.416,-1
184593,0.778,0.443,-0.396,30
185154,0.793,0.437,-0.400,-1
185723,0.788,0.443,-0.400,27
186297,0.782,0.463,-0.401,-1
186853,0.801,0.422,-0.381,44
187390,0.780,0.472,-0.396,-1
187933,0.806,0.427,-0.369,45
188495,0.803,0.425,-0.385,-1
189039,0.801,0.439,-0.380,50
189578,0.805,0.439,-0.379,-1
190102,0.805,0.447,-0.368,74
190653,0.806,0.434,-0.370,-1
191198,0.809,0.424,-0.357,75
191780,0.816,0.381,-0.375,-1
192330,0.812,0.423,-0.391,88
192918,0.817,0.382,-0.384,-1
193480,0.816,0.421,-0.358,80
196371,0.757,0.457,-0.441,-1
196881,0.739,0.482,-0.419,67
197440,0.736,0.529,-0.386,-1
198045,0.732,0.553,-0.392,58
198629,0.731,0.523,-0.375,-1
199192,0.739,0.539,-0.394,65
199775,0.729,0.528,-0.381,-1
200355,0.744,0.526,-0.367,101
200932,0.749,0.504,-0.374,-1
201504,0.739,0.511,-0.391,101
202093,0.749,0.507,-0.369,-1
202725,0.738,0.514,-0.400,103
203458,0.741,0.523,-0.397,-1
204044,0.752,0.536,-0.356,110
204589,0.756,0.490,-0.393,-1
205177,0.757,0.502,-0.357,110
205731,0.754,0.533,-0.355,-1
206310,0.754,0.489,-0.387,110
206895,0.771,0.480,-0.324,-1
208215,0.711,0.525,-0.503,9
210767,0.756,0.465,-0.379,-1
211434,0.756,0.498,-0.384,18
212084,0.767,0.498,-0.360,-1
212615,0.771,0.518,-0.339,20
213188,0.789,0.492,-0.288,-1
213784,0.762,0.549,-0.326,0
214339,0.782,0.500,-0.340,-1
214885,0.769,0.543,-0.317,10
215435,0.767,0.508,-0.343,-1
215984,0.766,0.529,-0.332,0
216510,0.781,0.465,-0.286,-1
217089,0.771,0.537,-0.308,0
217621,0.783,0.456,-0.350,-1
218160,0.764,0.518,-0.352,0
218687,0.774,0.492,-0.364,-1
219232,0.779,0.489,-0.349,0
219766,0.780,0.493,-0.334,-1
220290,0.782,0.501,-0.326,4
220788,0.787,0.489,-0.320,-1
221286,0.788,0.495,-0.325,10
221785,0.798,0.496,-0.307,-1
222300,0.786,0.484,-0.350,0
222780,0.785,0.488,-0.326,-1
223264,0.784,0.504,-0.339,38
226746,0.752,0.632,-0.270,-1
227296,0.735,0.588,-0.252,7
227816,0.739,0.600,-0.274,-1
228364,0.762,0.544,-0.269,3
228975,0.758,0.593,-0.250,-1
229518,0.768,0.549,-0.276,0
230114,0.781,0.528,-0.273,-1
230643,0.770,0.553,-0.242,6
231216,0.777,0.552,-0.252,-1
231815,0.779,0.544,-0.267,12
232426,0.780,0.528,-0.274,-1
233010,0.779,0.565,-0.269,68
233638,0.796,0.513,-0.264,-1
234253,0.787,0.530,-0.286,42
234885,0.784,0.548,-0.258,-1
235416,0.791,0.526,-0.235,33
235929,0.793,0.510,-0.267,-1
236425,0.792,0.526,-0.236,37
236918,0.787,0.530,-0.242,-1
237410,0.796,0.500,-0.240,49
237923,0.795,0.513,-0.250,-1
238412,0.807,0.494,-0.251,53
238920,0.792,0.529,-0.266,-1
239409,0.808,0.494,-0.254,75
239962,0.805,0.486,-0.263,-1
240633,0.792,0.514,-0.266,111
402699,0.795,0.519,-0.273,-1
405199,0.816,0.491,-0.270,24
406907,0.810,0.494,-0.276,-1
407706,0.818,0.476,-0.276,26
408466,0.815,0.492,-0.289,-1
409196,0.820,0.495,-0.299,48
409848,0.826,0.461,-0.313,-1
410452,0.830,0.456,-0.288,80
411035,0.837,0.428,-0.297,-1
411641,0.822,0.458,-0.289,2
412220,0.816,0.482,-0.286,-1
412788,0.819,0.466,-0.289,0
413326,0.819,0.468,-0.282,-1
413858,0.817,0.473,-0.267,20
415023,0.813,0.475,-0.261,-1
415667,0.808,0.477,-0.318,0
416517,0.810,0.497,-0.260,-1
417209,0.814,0.495,-0.268,0
417932,0.812,0.506,-0.232,-1
418518,0.825,0.483,-0.283,35
419109,0.824,0.492,-0.275,-1
419708,0.822,0.488,-0.287,45
420299,0.829,0.476,-0.275,-1
420900,0.823,0.491,-0.290,48
421459,0.827,0.489,-0.268,-1
422034,0.814,0.510,-0.270,27
422599,0.826,0.480,-0.277,-1
423214,0.823,0.486,-0.264,30
423782,0.822,0.500,-0.264,-1
424353,0.824,0.490,-0.253,42
424930,0.826,0.491,-0.271,-1
425491,0.829,0.479,-0.278,38
426071,0.818,0.537,-0.262,-1
426758,0.811,0.536,-0.226,0
427694,0.787,0.528,-0.248,-1
428534,0.796,0.525,-0.236,0
429117,0.804,0.499,-0.243,-1
429707,0.785,0.560,-0.249,0
430329,0.765,0.580,-0.276,-1
430869,0.794,0.526,-0.243,0
431406,0.791,0.530,-0.275,-1
431959,0.797,0.517,-0.301,0
432503,0.788,0.538,-0.234,-1
433644,0.785,0.546,-0.224,0
434373,0.783,0.565,-0.201,-1
434946,0.800,0.522,-0.263,0
435545,0.789,0.528,-0.269,-1
436134,0.783,0.564,-0.226,0
436724,0.787,0.544,-0.271,-1
437290,0.781,0.554,-0.243,0
437831,0.788,0.552,-0.241,-1
438368,0.781,0.542,-0.241,0
438916,0.791,0.543,-0.237,-1
439429,0.789,0.549,-0.210,0
440093,0.778,0.547,-0.221,-1
440726,0.787,0.557,-0.240,0
521403,0.652,0.727,0.227,-1
522446,0.654,0.691,0.242,0
523104,0.673,0.673,0.204,-1
523661,0.677,0.698,0.206,0
524187,0.677,0.676,0.234,-1
524715,0.682,0.669,0.196,0
525235,0.682,0.674,0.252,-1
525764,0.696,0.652,0.183,0
526287,0.703,0.660,0.200,-1
526801,0.707,0.656,0.182,36
527331,0.721,0.653,0.152,-1
527854,0.692,0.660,0.253,0
528352,0.717,0.658,0.154,-1
528806,0.697,0.708,0.113,0
529270,0.697,0.642,0.237,-1
529741,0.701,0.657,0.233,0
530194,0.712,0.635,0.172,-1
530642,0.685,0.672,0.244,1
531109,0.698,0.677,0.152,-1
531562,0.713,0.640,0.182,0
532036,0.680,0.686,0.195,-1
532477,0.672,0.644,0.303,0
532979,0.676,0.649,0.339,-1
533549,0.691,0.620,0.252,0
534099,0.618,0.679,0.384,-1
534735,0.677,0.616,0.248,0
535338,0.701,0.651,0.240,-1
535913,0.715,0.622,0.175,0
536506,0.753,0.529,0.248,-1
537117,0.702,0.629,0.286,26
537677,0.693,0.632,0.238,-1
538254,0.696,0.641,0.203,0
538846,0.706,0.617,0.266,-1
539334,0.696,0.665,0.203,0
539830,0.693,0.660,0.228,-1
540343,0.716,0.633,0.216,0
540832,0.679,0.680,0.260,-1
541348,0.690,0.680,0.221,0
542166,0.702,0.661,0.182,-1
542734,0.678,0.669,0.235,0
543291,0.667,0.698,0.188,-1
543760,0.671,0.691,0.204,0
