time,aX,aY,aZ,proximity
37742,-0.026,-0.034,1.008,243
37942,-0.059,-0.288,0.974,-1
38142,0.002,-0.044,0.968,246
38342,0.033,0.036,0.895,-1
38542,-0.046,-0.202,1.048,246
38742,-0.093,-0.146,1.029,-1
38942,-0.112,-0.243,0.920,242
39142,-0.088,-0.280,0.976,-1
39342,-0.102,-0.244,0.998,245
39542,-0.102,0.099,0.956,-1
39742,-0.099,0.004,1.142,243
39942,-0.083,-0.266,1.001,-1
40142,-0.094,-0.518,0.865,245
40342,-0.101,-0.541,0.866,-1
40542,-0.106,-0.455,0.896,243
40742,-0.117,-0.248,0.860,-1
40942,-0.106,-0.151,1.065,247
41142,-0.091,-0.111,0.978,-1
41342,-0.097,-0.027,1.010,245
41542,-0.099,-0.270,0.990,-1
41742,-0.131,-0.497,0.912,244
41942,-0.092,-0.398,0.837,-1
42142,-0.112,-0.303,1.012,245
42342,-0.106,-0.008,0.953,-1
42542,-0.118,0.053,0.983,244
42742,-0.117,-0.091,1.025,-1
42942,-0.129,-0.297,0.982,243
43142,-0.112,-0.385,0.963,-1
43342,-0.107,-0.322,0.902,248
43542,-0.105,-0.328,0.901,-1
43742,-0.130,-0.385,0.933,246
43942,-0.124,-0.398,0.939,-1
44142,-0.103,-0.353,0.918,244
44342,-0.122,0.030,0.936,-1
44542,-0.132,-0.240,1.008,245
44742,-0.128,-0.347,0.946,-1
44942,-0.139,-0.472,0.896,244
45142,-0.152,-0.509,0.899,-1
45342,-0.105,-0.258,0.993,245
45542,-0.139,-0.001,0.962,-1
45742,-0.008,0.027,1.007,234
45942,-0.031,-0.002,1.005,-1
46142,-0.047,-0.012,0.953,213
46342,-0.075,-0.057,1.010,-1
46542,-0.079,-0.075,0.995,189
46742,-0.066,-0.099,0.997,-1
46942,-0.075,-0.156,0.981,178
47142,-0.065,-0.133,1.026,-1
47342,-0.075,-0.127,1.016,167
47542,-0.073,-0.088,0.997,-1
47742,-0.064,-0.116,0.992,225
47942,-0.066,-0.112,0.982,-1
48142,-0.035,0.070,1.024,241
48342,0.002,0.169,0.960,-1
48542,-0.001,-0.366,0.912,217
48742,0.002,-0.169,0.960,-1
48942,0.013,-0.115,1.001,161
