Angle,Mean_Deviation_ax,Std_Deviation_ax,Mean_Deviation_ay,Std_Deviation_ay,Mean_Deviation_az,Std_Deviation_az,Sensor,Orientation,Offsets
-20,0.0043,0.0004830458915396481,0.6881201433256686,0.0007378647873726304,-0.030892620785908396,0.0014757295747452452,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
0,-0.0004,0.0008432740427115678,0.0002,0.0006324555320336759,-0.04060000000000004,0.0009660917830792969,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
20,0.005,0.0006666666666666669,-0.6837201433256688,0.0009486832980505054,-0.05279262078590842,0.0005676462121975464,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
40,0.0116,0.0006992058987801014,-1.2823876096865392,0.0008432740427116485,-0.06224444311897805,0.0009189365834726824,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
60,0.0212,0.0006324555320336752,-1.7199254037844387,0.000875595035770952,-0.06140000000000011,0.000699205898780102,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
80,0.0325,0.0009718253158075518,-1.9541077530122082,0.000483045891539606,-0.0739481776669304,0.0008232726023485652,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-80,-0.01439224698779198,0.00042163702135578426,0.0249,0.0007378647873726221,0.03305182233306957,0.000948683298050514,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-60,-0.006674596215561402,0.0009486832980505146,0.020800000000000003,0.0007888106377466149,0.03199999999999992,0.0028284271247461927,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-40,-0.004712390313460768,0.0013540064007726612,0.015099999999999999,0.0008755950357709131,0.024455556881022023,0.007184087354084108,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-20,-0.0022798566743312655,0.0006749485577105416,0.004200000000000001,0.000632455532033676,0.020307379214091537,0.0009428090415820637,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
