Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
1.860,61.581,-62.231,172.199
1.870,60.797,-62.337,172.731
1.880,60.002,-62.440,173.273
1.890,59.195,-62.540,173.826
1.900,58.378,-62.637,174.389
1.910,57.549,-62.730,174.964
1.920,56.708,-62.821,175.549
1.930,55.857,-62.907,176.145
1.940,54.993,-62.990,176.752
1.950,54.117,-63.069,177.371
1.960,53.228,-63.144,178.002
1.970,52.327,-63.214,178.645
1.980,51.414,-63.280,179.299
1.990,50.488,-63.342,179.965
2.000,49.550,-63.398,180.642
2.010,48.598,-63.450,181.332
2.020,47.634,-63.496,182.034
2.030,46.728,-63.524,182.692
2.040,45.810,-63.548,183.363
2.050,44.808,-63.578,184.099
2.060,43.794,-63.602,184.847
2.070,42.766,-63.620,185.608
2.080,41.725,-63.631,186.380
2.090,40.672,-63.635,187.164
2.100,39.606,-63.632,187.959
2.110,38.526,-63.622,188.766
2.120,37.435,-63.604,189.584
2.130,36.331,-63.579,190.414
2.140,35.214,-63.545,191.254
2.150,34.089,-63.503,192.102
2.160,32.950,-63.452,192.962
2.170,31.799,-63.393,193.832
2.180,30.638,-63.324,194.710
2.190,29.466,-63.246,195.598
2.200,28.284,-63.158,196.494
2.210,27.092,-63.060,197.397
2.220,25.892,-62.953,198.308
2.230,24.683,-62.834,199.224
2.240,23.466,-62.705,200.147
2.250,22.333,-62.566,201.004
2.260,21.104,-62.416,201.935
2.270,19.962,-62.257,202.797
2.280,18.723,-62.084,203.734
2.290,17.479,-61.900,204.672
2.300,16.233,-61.703,205.611
2.310,14.983,-61.494,206.550
2.320,13.730,-61.272,207.489
2.330,12.477,-61.037,208.426
2.340,11.224,-60.790,209.360
2.350,9.971,-60.529,210.290
2.360,8.720,-60.255,211.215
2.370,7.471,-59.968,212.135
2.380,6.226,-59.667,213.048
2.390,4.985,-59.352,213.953
2.400,3.749,-59.023,214.849
2.410,2.519,-58.681,215.736
2.420,1.295,-58.324,216.611
2.430,0.083,-57.954,217.473
2.440,-1.125,-57.569,218.325
2.450,-2.323,-57.169,219.162
2.460,-3.511,-56.756,219.985
2.470,-4.688,-56.328,220.793
2.480,-5.855,-55.885,221.585
2.490,-7.009,-55.429,222.359
2.500,-8.151,-54.957,223.116
2.510,-9.279,-54.472,223.854
2.520,-10.393,-53.972,224.572
2.530,-11.493,-53.458,225.270
2.540,-12.577,-52.930,225.948
2.550,-13.646,-52.388,226.603
2.560,-14.699,-51.832,227.237
2.570,-15.735,-51.262,227.847
2.580,-16.754,-50.679,228.434
2.590,-17.756,-50.082,228.997
2.600,-18.740,-49.472,229.535
2.610,-19.706,-48.849,230.049
2.620,-20.654,-48.214,230.537
2.630,-21.583,-47.566,230.999
2.640,-22.492,-46.906,231.435
2.650,-23.383,-46.234,231.844
2.660,-24.254,-45.551,232.227
2.670,-25.105,-44.857,232.582
2.680,-25.936,-44.152,232.910
2.690,-26.746,-43.437,233.210
2.700,-27.537,-42.714,233.483
2.710,-28.306,-41.981,233.728
2.720,-29.055,-41.239,233.946
2.730,-29.783,-40.491,234.136
2.740,-30.490,-39.735,234.298
2.750,-31.176,-38.974,234.433
2.760,-31.841,-38.207,234.542
2.770,-32.485,-37.435,234.623
2.780,-33.108,-36.659,234.679
2.790,-33.710,-35.880,234.708
2.800,-34.291,-35.099,234.713
2.810,-34.852,-34.315,234.693
2.820,-35.393,-33.531,234.650
2.830,-35.914,-32.746,234.583
2.840,-36.414,-31.963,234.495
2.850,-36.896,-31.180,234.384
2.860,-37.359,-30.398,234.254
2.870,-37.803,-29.619,234.103
2.880,-38.229,-28.843,233.934
2.890,-38.638,-28.070,233.747
2.900,-39.029,-27.301,233.543
2.910,-39.404,-26.537,233.324
2.920,-39.763,-25.777,233.089
2.930,-40.106,-25.022,232.840
2.940,-40.433,-24.272,232.577
2.950,-40.747,-23.527,232.302
2.960,-41.046,-22.788,232.016
2.970,-41.332,-22.055,231.718
2.980,-41.605,-21.328,231.411
2.990,-41.866,-20.607,231.094
3.000,-42.114,-19.892,230.768
3.010,-42.351,-19.183,230.435
3.020,-42.577,-18.480,230.094
3.030,-42.792,-17.784,229.746
3.040,-42.997,-17.093,229.392
3.050,-43.192,-16.409,229.033
3.060,-43.378,-15.732,228.669
3.070,-43.554,-15.060,228.299
3.080,-43.723,-14.394,227.925
3.090,-43.882,-13.734,227.547
3.100,-44.034,-13.080,227.166
3.110,-44.178,-12.432,226.781
3.120,-44.315,-11.790,226.394
3.130,-44.444,-11.153,226.004
3.140,-44.566,-10.522,225.612
3.150,-44.682,-9.896,225.218
3.160,-44.792,-9.276,224.823
3.170,-44.895,-8.661,224.426
3.180,-44.992,-8.051,224.028
3.190,-45.083,-7.447,223.629
3.200,-45.169,-6.848,223.229
3.210,-45.249,-6.253,222.828
3.220,-45.324,-5.664,222.428
