Angle,ax,ay,az,roll,pitch,yaw,q0,q1,q2,q3
-80,
-60,
-40,
-20,
0,-6.854,16.105,975.756,-0.440,-0.935,359.523,0.008,0.004,0.004,1.000
20,-0.428,-323.300,924.273,-0.049,19.269,0.264,-0.167,0.001,-0.001,0.986
40,0.244,-623.908,760.304,-0.011,39.367,3.543,-0.336,0.011,-0.030,0.941
60,4.980,-856.440,498.732,-0.168,59.831,183.853,-0.014,-0.499,0.866, 0.031
80,

