Angle,ax,ay,az,Sensor,Orientation
40,0.632,-0.009,0.768,BMI270,Pitch
40,0.633,-0.009,0.769,BMI270,Pitch
40,0.631,-0.009,0.765,BMI270,Pitch
40,0.632,-0.009,0.766,BMI270,Pitch
40,0.631,-0.01,0.766,BMI270,Pitch
60,0.847,-0.007,0.497,BMI270,Pitch
60,0.856,-0.008,0.5,BMI270,Pitch
60,0.848,-0.007,0.503,BMI270,Pitch
60,0.842,-0.009,0.495,BMI270,Pitch
60,0.846,-0.008,0.503,BMI270,Pitch
60,0.848,-0.008,0.502,BMI270,Pitch
60,0.842,-0.007,0.496,BMI270,Pitch
60,0.846,-0.007,0.498,BMI270,Pitch
60,0.848,-0.009,0.502,BMI270,Pitch
60,0.844,-0.007,0.497,BMI270,Pitch
80,0.958,0.004,0.169,BMI270,Pitch
80,0.957,0.003,0.167,BMI270,Pitch
80,0.958,0.005,0.167,BMI270,Pitch
80,0.958,0.004,0.167,BMI270,Pitch
80,0.958,0.002,0.168,BMI270,Pitch
80,0.959,0.003,0.169,BMI270,Pitch
80,0.958,0.003,0.169,BMI270,Pitch
80,0.959,0.004,0.168,BMI270,Pitch
80,0.959,0.004,0.167,BMI270,Pitch
80,0.958,0.004,0.169,BMI270,Pitch
-20,-0.345,0.005,0.959,BMI270,Pitch
-20,-0.344,0.004,0.959,BMI270,Pitch
-20,-0.344,0.004,0.96,BMI270,Pitch
-20,-0.344,0.004,0.96,BMI270,Pitch
-20,-0.343,0.003,0.959,BMI270,Pitch
-20,-0.345,0.005,0.961,BMI270,Pitch
-20,-0.345,0.005,0.96,BMI270,Pitch
-20,-0.344,0.004,0.96,BMI270,Pitch
-20,-0.344,0.004,0.962,BMI270,Pitch
-20,-0.345,0.004,0.96,BMI270,Pitch
-40,-0.65,0.016,0.777,BMI270,Pitch
-40,-0.648,0.015,0.789,BMI270,Pitch
-40,-0.645,0.016,0.801,BMI270,Pitch
-40,-0.648,0.014,0.788,BMI270,Pitch
-40,-0.647,0.014,0.791,BMI270,Pitch
-40,-0.649,0.016,0.782,BMI270,Pitch
-40,-0.647,0.015,0.797,BMI270,Pitch
-40,-0.647,0.016,0.797,BMI270,Pitch
-40,-0.647,0.014,0.793,BMI270,Pitch
-40,-0.647,0.015,0.79,BMI270,Pitch
-60,-0.874,0.022,0.53,BMI270,Pitch
-60,-0.873,0.021,0.531,BMI270,Pitch
-60,-0.872,0.022,0.536,BMI270,Pitch
-60,-0.872,0.02,0.535,BMI270,Pitch
-60,-0.873,0.021,0.53,BMI270,Pitch
-60,-0.874,0.021,0.53,BMI270,Pitch
-60,-0.873,0.02,0.531,BMI270,Pitch
-60,-0.871,0.02,0.537,BMI270,Pitch
-60,-0.873,0.021,0.53,BMI270,Pitch
-60,-0.872,0.02,0.53,BMI270,Pitch
-80,-1.0,0.026,0.205,BMI270,Pitch
-80,-0.999,0.026,0.207,BMI270,Pitch
-80,-0.999,0.025,0.208,BMI270,Pitch
-80,-0.999,0.024,0.207,BMI270,Pitch
-80,-0.999,0.024,0.206,BMI270,Pitch
-80,-0.999,0.025,0.207,BMI270,Pitch
-80,-0.999,0.025,0.208,BMI270,Pitch
-80,-1.0,0.025,0.206,BMI270,Pitch
-80,-0.999,0.025,0.207,BMI270,Pitch
-80,-0.999,0.024,0.206,BMI270,Pitch
0,0.002,0.016,1.068,MPU6050,Pitch
0,-0.006,-0.007,1.07,MPU6050,Pitch
0,0.001,0.002,1.073,MPU6050,Pitch
0,-0.001,0.007,1.068,MPU6050,Pitch
0,-0.004,0.005,1.065,MPU6050,Pitch
0,-0.002,0.005,1.068,MPU6050,Pitch
0,-0.004,0.009,1.073,MPU6050,Pitch
0,-0.002,0.003,1.074,MPU6050,Pitch
0,0.004,0.002,1.062,MPU6050,Pitch
0,-0.001,0.004,1.079,MPU6050,Pitch
20,0.002,-0.329,1.018,MPU6050,Pitch
20,0.0,-0.332,0.997,MPU6050,Pitch
20,0.002,-0.333,0.996,MPU6050,Pitch
20,0.002,-0.332,1.002,MPU6050,Pitch
20,-0.003,-0.334,1.006,MPU6050,Pitch
20,-0.001,-0.338,1.008,MPU6050,Pitch
20,0.003,-0.331,0.998,MPU6050,Pitch
20,-0.008,-0.329,0.991,MPU6050,Pitch
20,-0.005,-0.338,1.005,MPU6050,Pitch
20,-0.002,-0.333,1.022,MPU6050,Pitch
40,-0.026,-0.632,0.821,MPU6050,Pitch
40,-0.025,-0.629,0.819,MPU6050,Pitch
40,-0.02,-0.631,0.814,MPU6050,Pitch
40,-0.017,-0.63,0.828,MPU6050,Pitch
40,-0.019,-0.634,0.819,MPU6050,Pitch
40,-0.015,-0.625,0.828,MPU6050,Pitch
40,-0.025,-0.629,0.819,MPU6050,Pitch
40,-0.019,-0.632,0.819,MPU6050,Pitch
40,-0.018,-0.626,0.823,MPU6050,Pitch
40,-0.022,-0.629,0.819,MPU6050,Pitch
60,-0.005,-0.851,0.538,MPU6050,Pitch
60,0.007,-0.854,0.543,MPU6050,Pitch
60,-0.0,-0.849,0.546,MPU6050,Pitch
60,-0.001,-0.852,0.536,MPU6050,Pitch
60,-0.002,-0.851,0.548,MPU6050,Pitch
