Angle,Mean_ax,Std_ax,Mean_ay,Std_ay,Mean_az,Std_az,Mean_Norm,Std_Norm,Sensor,Orientation,Offsets
-80,-1.0017999999999998,0.0010327955589887103,0.0106,0.0014298407059684815,0.1963,0.0014944341180973266,1.0209079644280377,0.0010688349836404335,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-60,-0.8756,0.0006992058987801195,0.0097,0.0008232726023485643,0.5233000000000001,0.0010593499054713546,1.0201046264694276,0.001027973016140329,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-40,-0.6476,0.0006992058987801172,0.0058000000000000005,0.0012292725943057181,0.787,0.0012472191289246753,1.0192109090756394,0.000896177815418324,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-20,-0.3407,0.0022632326929023774,0.0029000000000000002,0.0014491376746189437,0.9559999999999998,0.0011547005383792516,1.0149024375038447,0.0013508634089628945,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
0,0.0,0.0008164965809277262,-0.0001,0.00031622776601683794,1.0053999999999998,0.0005163977794944229,1.0054003481100844,0.0005164194256900057,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
20,0.3385,0.0005270462766947304,-0.0021999999999999997,0.0013165611772087667,0.938,0.0018257418583505131,0.9972125963234315,0.0018066955349883907,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
40,0.6289,0.0009944289260117299,-0.0001,0.0008755950357709132,0.7577,0.0014944341180973147,0.984695935740216,0.001495971145135865,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
60,0.8455999999999999,0.0021186998109427586,0.008799999999999999,0.0016865480854231353,0.4819,0.004483302354291979,0.9733214761830867,0.004000555624847743,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
80,0.9584999999999999,0.0009718253158075465,0.017499999999999998,0.0010801234497346435,0.15589999999999998,0.0009944289260117557,0.9712543826522666,0.0010667597691006916,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-80,0.0024000000000000002,0.0009660917830792958,1.0083,0.0009486832980505366,0.1552,0.004104198392432373,1.0201853266233794,0.0006661183985419426,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-60,0.007000000000000001,0.0008164965809277261,0.8812,0.0010327955589886119,0.481,0.004163331998932269,1.0039616391151391,0.0013446128079645182,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-40,0.0039,0.0008755950357709132,0.649,0.0006666666666666527,0.7445999999999999,0.0015055453054181218,0.9877488376093236,0.0009029589814167631,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-20,0.0043,0.0004830458915396481,0.34609999999999996,0.0007378647873726238,0.9088,0.0014757295747452443,0.9724823632230212,0.0014349681251173833,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
0,-0.0004,0.0008432740427115678,0.0002,0.0006324555320336759,0.9593999999999999,0.0009660917830793042,0.9594006256520311,0.0009658033450123607,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
20,0.005,0.0006666666666666669,-0.3417,0.0009486832980505144,0.8869,0.0005676462121975448,0.950461253376312,0.0006715076982896354,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
40,0.0116,0.0006992058987801014,-0.6396,0.0008432740427115705,0.7038,0.0009189365834726921,0.9510825309482923,0.001064228980336986,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
60,0.0212,0.0006324555320336752,-0.8539,0.0008755950357709427,0.4386,0.0006992058987801016,0.9601902591908089,0.0009226502208120761,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
80,0.0325,0.0009718253158075518,-0.9692999999999999,0.000483045891539657,0.09970000000000001,0.0008232726023485652,0.9749565188363359,0.000564090746418289,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-80,-0.9992000000000001,0.00042163702135581316,0.0249,0.0007378647873726221,0.20669999999999997,0.0009486832980505134,1.0206600328778774,0.00032877842943830734,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-60,-0.8727,0.0009486832980505119,0.020800000000000003,0.0007888106377466149,0.532,0.0028284271247461944,1.0222864750050054,0.000979241112399573,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-40,-0.6475000000000001,0.00135400640077268,0.015099999999999999,0.0008755950357709131,0.7905,0.007184087354084094,1.021960368935236,0.004749774936937432,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
-20,-0.34429999999999994,0.0006749485577105411,0.004200000000000001,0.000632455532033676,0.96,0.0009428090415821063,1.019882777241018,0.0009549212580475807,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
0,-0.0002,0.0006324555320336759,0.00030000000000000003,0.000674948557710553,1.0145,0.000707106781186504,1.0145004435440415,0.0007071452334559749,BMI270,Pitch,"Offsets: ax: 0.025, ay: -0.029, az: -0.007"
