Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
1.860,53.111,-66.860,181.434
1.870,52.121,-66.936,182.161
1.880,51.116,-67.007,182.902
1.890,50.097,-67.072,183.657
1.900,49.062,-67.132,184.426
1.910,48.013,-67.186,185.209
1.920,46.949,-67.234,186.006
1.930,45.870,-67.276,186.818
1.940,44.775,-67.311,187.643
1.950,43.666,-67.339,188.483
1.960,42.542,-67.360,189.336
1.970,41.403,-67.373,190.204
1.980,40.249,-67.380,191.085
1.990,39.080,-67.378,191.979
2.000,37.898,-67.368,192.887
2.010,36.700,-67.349,193.808
2.020,35.493,-67.322,194.739
2.030,34.269,-67.285,195.683
2.040,33.122,-67.234,196.567
2.050,31.874,-67.180,197.534
2.060,30.614,-67.115,198.511
2.070,29.343,-67.040,199.497
2.080,28.061,-66.955,200.492
2.090,26.770,-66.859,201.496
2.100,25.469,-66.753,202.508
2.110,24.159,-66.634,203.526
2.120,22.842,-66.505,204.550
2.130,21.517,-66.363,205.579
2.140,20.187,-66.210,206.613
2.150,18.851,-66.044,207.649
2.160,17.514,-65.866,208.686
2.170,16.170,-65.675,209.726
2.180,14.825,-65.471,210.766
2.190,13.477,-65.253,211.805
2.200,12.129,-65.023,212.841
2.210,10.782,-64.779,213.874
2.220,9.438,-64.521,214.903
2.230,8.095,-64.250,215.926
2.240,6.758,-63.964,216.941
2.250,5.424,-63.665,217.949
2.260,4.097,-63.351,218.948
2.270,2.775,-63.023,219.938
2.280,1.558,-62.697,220.842
2.290,0.253,-62.341,221.809
2.300,-1.040,-61.971,222.759
2.310,-2.324,-61.586,223.698
2.320,-3.598,-61.186,224.621
2.330,-4.859,-60.772,225.527
2.340,-6.107,-60.344,226.417
2.350,-7.342,-59.900,227.288
2.360,-8.562,-59.442,228.140
2.370,-9.767,-58.970,228.972
2.380,-10.956,-58.483,229.783
2.390,-12.129,-57.982,230.572
2.400,-13.284,-57.467,231.339
2.410,-14.422,-56.937,232.084
2.420,-15.543,-56.394,232.804
2.430,-16.644,-55.836,233.500
2.440,-17.727,-55.265,234.172
2.450,-18.792,-54.680,234.818
2.460,-19.837,-54.081,235.438
2.470,-20.862,-53.470,236.032
2.480,-21.868,-52.845,236.600
2.490,-22.854,-52.207,237.140
2.500,-23.819,-51.557,237.652
2.510,-24.764,-50.894,238.136
2.520,-25.687,-50.220,238.592
2.530,-26.589,-49.534,239.019
2.540,-27.470,-48.837,239.416
2.550,-28.329,-48.129,239.785
2.560,-29.167,-47.411,240.123
2.570,-29.982,-46.684,240.432
2.580,-30.777,-45.946,240.711
2.590,-31.549,-45.201,240.960
2.600,-32.299,-44.446,241.179
2.610,-33.027,-43.685,241.369
2.620,-33.733,-42.917,241.528
2.630,-34.416,-42.142,241.657
2.640,-35.077,-41.362,241.757
2.650,-35.717,-40.578,241.828
2.660,-36.334,-39.790,241.870
2.670,-36.928,-38.999,241.883
2.680,-37.501,-38.206,241.869
2.690,-38.052,-37.411,241.827
2.700,-38.582,-36.617,241.760
2.710,-39.090,-35.823,241.666
2.720,-39.577,-35.029,241.548
2.730,-40.043,-34.238,241.406
2.740,-40.490,-33.450,241.241
2.750,-40.916,-32.664,241.054
2.760,-41.324,-31.883,240.847
2.770,-41.713,-31.105,240.620
2.780,-42.084,-30.332,240.374
2.790,-42.437,-29.565,240.110
2.800,-42.859,-28.657,239.766
2.810,-43.176,-27.903,239.467
2.820,-43.478,-27.155,239.154
2.830,-43.765,-26.414,238.827
2.840,-44.037,-25.679,238.489
2.850,-44.295,-24.951,238.139
2.860,-44.540,-24.230,237.779
2.870,-44.773,-23.516,237.409
2.880,-44.994,-22.809,237.030
2.890,-45.203,-22.108,236.643
2.900,-45.402,-21.415,236.248
2.910,-45.589,-20.728,235.847
2.920,-45.767,-20.047,235.440
2.930,-45.936,-19.374,235.027
2.940,-46.095,-18.707,234.609
2.950,-46.246,-18.046,234.187
2.960,-46.388,-17.392,233.761
2.970,-46.523,-16.744,233.331
2.980,-46.650,-16.102,232.898
2.990,-46.770,-15.465,232.462
3.000,-46.883,-14.835,232.024
3.010,-46.989,-14.210,231.583
3.020,-47.090,-13.591,231.141
3.030,-47.184,-12.977,230.698
3.040,-47.272,-12.369,230.253
3.050,-47.354,-11.766,229.807
3.060,-47.432,-11.168,229.361
3.070,-47.504,-10.575,228.914
3.080,-47.571,-9.988,228.467
3.090,-47.633,-9.405,228.019
3.100,-47.691,-8.826,227.572
3.110,-47.744,-8.253,227.125
3.120,-47.793,-7.685,226.679
3.130,-47.837,-7.120,226.233
3.140,-47.878,-6.559,225.788
3.150,-47.914,-6.003,225.343
3.160,-47.947,-5.452,224.899
3.170,-47.976,-4.904,224.457
3.180,-48.001,-4.361,224.015
3.190,-48.022,-3.821,223.575
3.200,-48.040,-3.286,223.136
3.210,-48.055,-2.755,222.699
3.220,-48.066,-2.227,222.263
3.230,-48.074,-1.703,221.828
3.240,-48.079,-1.184,221.396
3.250,-48.080,-0.667,220.965
3.260,-48.078,-0.155,220.536
3.270,-48.073,0.353,220.109
3.280,-48.059,0.828,219.717
3.290,-48.047,1.329,219.294
3.300,-48.033,1.827,218.873
3.310,-48.016,2.322,218.454
3.320,-47.990,2.785,218.068
3.330,-47.967,3.272,217.654
3.340,-47.940,3.757,217.242
3.350,-47.911,4.238,216.832
3.360,-47.874,4.686,216.456
3.370,-47.839,5.161,216.051
3.380,-47.796,5.604,215.679
3.390,-47.755,6.071,215.279
3.400,-47.711,6.536,214.882
3.410,-47.664,6.997,214.487
3.420,-47.614,7.455,214.094
3.430,-47.562,7.909,213.705
3.440,-47.506,8.359,213.318
3.450,-47.447,8.807,212.935
3.460,-47.386,9.251,212.554
3.470,-47.321,9.691,212.176
3.480,-47.253,10.128,211.801
3.490,-47.183,10.562,211.429
3.500,-47.109,10.992,211.060
3.510,-47.033,11.419,210.694
3.520,-46.953,11.842,210.331
3.530,-46.870,12.262,209.972
3.540,-46.784,12.679,209.615
3.550,-46.695,13.092,209.262
3.560,-46.603,13.501,208.913
3.570,-46.508,13.908,208.566
3.580,-46.410,14.310,208.223
3.590,-46.308,14.710,207.884
3.600,-46.204,15.105,207.548
3.610,-46.096,15.498,207.216
3.620,-45.984,15.886,206.887
3.630,-45.870,16.271,206.562
3.640,-45.752,16.653,206.240
3.650,-45.631,17.010,205.946
3.660,-45.507,17.385,205.632
3.670,-45.379,17.757,205.321
3.680,-45.248,18.125,205.014
3.690,-45.114,18.489,204.710
3.700,-44.976,18.851,204.411
3.710,-44.835,19.208,204.115
3.720,-44.691,19.562,203.823
3.730,-44.543,19.913,203.535
3.740,-44.391,20.260,203.251
3.750,-44.237,20.603,202.971
3.760,-44.078,20.943,202.695
3.770,-43.917,21.279,202.423
3.780,-43.752,21.612,202.154
3.790,-43.583,21.941,201.890
3.800,-43.411,22.267,201.630
3.810,-43.236,22.589,201.374
3.820,-43.056,22.908,201.122
3.830,-42.874,23.222,200.874
3.840,-42.688,23.534,200.630
3.850,-42.499,23.841,200.391
3.860,-42.306,24.145,200.155
3.870,-42.109,24.446,199.923
3.880,-41.910,24.743,199.696
3.890,-41.706,25.036,199.473
3.900,-41.504,25.311,199.270
3.910,-41.294,25.598,199.055
3.920,-41.080,25.881,198.843
3.930,-40.863,26.161,198.636
3.940,-40.643,26.437,198.434
3.950,-40.419,26.710,198.235
3.960,-40.192,26.979,198.040
3.970,-39.961,27.245,197.849
3.980,-39.727,27.507,197.663
3.990,-39.490,27.766,197.480
4.000,-39.256,28.008,197.315
4.010,-39.013,28.260,197.140
4.020,-38.766,28.509,196.969
4.030,-38.516,28.755,196.802
4.040,-38.262,28.997,196.639
4.050,-38.006,29.236,196.480
4.060,-37.747,29.472,196.324
4.070,-37.484,29.704,196.173
4.080,-37.219,29.933,196.025
4.090,-36.950,30.159,195.881
4.100,-36.679,30.381,195.740
4.110,-36.405,30.600,195.604
4.120,-36.128,30.817,195.471
4.130,-35.848,31.029,195.341
4.140,-35.566,31.239,195.215
4.150,-35.289,31.435,195.102
4.160,-35.001,31.639,194.982
4.170,-34.710,31.840,194.866
4.180,-34.417,32.037,194.754
4.190,-34.121,32.232,194.645
4.200,-33.822,32.424,194.539
4.210,-33.521,32.613,194.436
4.220,-33.218,32.798,194.336
4.230,-32.912,32.981,194.239
4.240,-32.605,33.161,194.146
4.250,-32.294,33.338,194.055
4.260,-31.982,33.513,193.967
4.270,-31.668,33.684,193.883
4.280,-31.351,33.853,193.801
4.290,-31.033,34.019,193.721
4.300,-30.712,34.182,193.645
4.310,-30.389,34.343,193.571
4.320,-30.064,34.501,193.499
4.330,-29.749,34.648,193.435
4.340,-29.420,34.801,193.369
4.350,-29.089,34.952,193.305
4.360,-28.757,35.100,193.243
4.370,-28.423,35.245,193.184
4.380,-28.087,35.388,193.126
4.390,-27.750,35.529,193.071
4.400,-27.411,35.667,193.018
4.410,-27.070,35.803,192.968
4.420,-26.728,35.936,192.919
4.430,-26.385,36.067,192.872
4.440,-26.040,36.195,192.827
4.450,-25.694,36.321,192.784
4.460,-25.346,36.446,192.743
4.470,-24.997,36.567,192.703
4.480,-24.660,36.681,192.668
4.490,-24.308,36.798,192.632
4.500,-23.955,36.914,192.597
4.510,-23.601,37.027,192.564
4.520,-23.245,37.138,192.533
4.530,-22.889,37.247,192.503
4.540,-22.531,37.354,192.474
4.550,-22.173,37.458,192.447
4.560,-21.814,37.561,192.421
4.570,-21.454,37.661,192.397
4.580,-21.092,37.760,192.373
4.590,-20.730,37.856,192.351
4.600,-20.367,37.951,192.330
4.610,-20.003,38.043,192.310
4.620,-19.652,38.130,192.292
4.630,-19.286,38.218,192.275
4.640,-18.920,38.305,192.258
4.650,-18.553,38.390,192.242
4.660,-18.185,38.473,192.227
4.670,-17.816,38.555,192.213
4.680,-17.447,38.634,192.200
4.690,-17.077,38.711,192.187
4.700,-16.706,38.787,192.175
4.710,-16.336,38.861,192.164
4.720,-15.965,38.933,192.154
4.730,-15.593,39.003,192.144
4.740,-15.220,39.071,192.135
4.750,-14.848,39.138,192.127
4.760,-14.474,39.202,192.119
4.770,-14.101,39.266,192.111
4.780,-13.727,39.327,192.104
4.790,-13.352,39.386,192.098
4.800,-12.978,39.444,192.092
4.810,-12.603,39.500,192.086
4.820,-12.227,39.555,192.081
4.830,-11.852,39.607,192.076
4.840,-11.476,39.658,192.072
4.850,-11.100,39.707,192.067
4.860,-10.738,39.752,192.064
4.870,-10.361,39.798,192.060
4.880,-9.998,39.840,192.057
4.890,-9.620,39.883,192.054
4.900,-9.242,39.924,192.052
4.910,-8.865,39.963,192.049
4.920,-8.486,40.001,192.046
4.930,-8.108,40.037,192.044
4.940,-7.730,40.072,192.042
4.950,-7.352,40.104,192.039
4.960,-6.974,40.136,192.037
4.970,-6.596,40.165,192.035
4.980,-6.218,40.193,192.033
4.990,-5.840,40.219,192.031
5.000,-5.462,40.244,192.028
5.010,-5.098,40.265,192.026
5.020,-4.720,40.287,192.024
5.030,-4.342,40.307,192.022
5.040,-3.964,40.325,192.020
5.050,-3.586,40.342,192.017
5.060,-3.208,40.357,192.014
5.070,-2.830,40.371,192.012
5.080,-2.453,40.383,192.009
5.090,-2.076,40.393,192.006
5.100,-1.699,40.402,192.002
5.110,-1.322,40.409,191.999
5.120,-0.946,40.415,191.995
5.130,-0.570,40.419,191.991
5.140,-0.195,40.422,191.987
5.150,0.181,40.422,191.982
5.160,0.542,40.421,191.978
5.170,0.903,40.418,191.973
5.180,1.264,40.413,191.969
5.190,1.626,40.408,191.964
5.200,1.988,40.400,191.959
5.210,2.349,40.391,191.954
5.220,2.711,40.381,191.949
5.230,3.073,40.369,191.944
5.240,3.435,40.356,191.938
5.250,3.797,40.341,191.933
5.260,4.159,40.325,191.927
5.270,4.520,40.307,191.921
5.280,4.882,40.288,191.914
5.290,5.244,40.267,191.908
5.300,5.605,40.245,191.901
5.310,5.966,40.221,191.893
5.320,6.327,40.196,191.886
5.330,6.688,40.170,191.878
5.340,7.049,40.141,191.870
5.350,7.409,40.112,191.861
5.360,7.769,40.081,191.852
5.370,8.128,40.048,191.843
5.380,8.487,40.014,191.833
5.390,8.847,39.979,191.823
5.400,9.205,39.942,191.813
5.410,9.563,39.903,191.802
5.420,9.921,39.863,191.791
5.430,10.278,39.822,191.779
5.440,10.635,39.779,191.767
5.450,10.991,39.735,191.754
5.460,11.347,39.689,191.741
5.470,11.703,39.642,191.728
5.480,12.058,39.593,191.714
5.490,12.412,39.542,191.699
5.500,12.766,39.491,191.684
5.510,13.119,39.437,191.669
5.520,13.471,39.383,191.653
5.530,13.824,39.326,191.636
5.540,14.175,39.269,191.619
5.550,14.525,39.209,191.602
5.560,14.875,39.149,191.584
5.570,15.225,39.086,191.565
5.580,15.574,39.023,191.546
5.590,15.922,38.958,191.526
5.600,16.269,38.891,191.506
5.610,16.615,38.823,191.485
5.620,16.961,38.754,191.464
5.630,17.306,38.683,191.442
5.640,17.650,38.610,191.420
5.650,17.993,38.536,191.397
5.660,18.336,38.461,191.373
5.670,18.678,38.384,191.349
5.680,19.019,38.306,191.325
5.690,19.359,38.226,191.300
5.700,19.698,38.145,191.274
5.710,20.036,38.062,191.247
5.720,20.374,37.978,191.220
5.730,20.710,37.892,191.193
5.740,21.045,37.805,191.165
5.750,21.380,37.717,191.136
5.760,21.714,37.626,191.107
5.770,22.047,37.535,191.077
5.780,22.379,37.442,191.047
5.790,22.709,37.348,191.016
5.800,23.040,37.252,190.984
5.810,23.369,37.155,190.952
5.820,23.696,37.056,190.919
5.830,24.023,36.956,190.886
5.840,24.349,36.855,190.852
5.850,24.674,36.752,190.818
5.860,24.998,36.647,190.783
5.870,25.320,36.542,190.747
5.880,25.642,36.434,190.711
5.890,25.963,36.326,190.674
5.900,26.283,36.216,190.636
5.910,26.601,36.104,190.598
5.920,26.918,35.991,190.560
5.930,27.234,35.877,190.521
5.940,27.550,35.761,190.481
5.950,27.864,35.644,190.441
5.960,28.176,35.526,190.400
5.970,28.488,35.406,190.359
5.980,28.798,35.285,190.317
5.990,29.108,35.162,190.274
6.000,29.416,35.038,190.231
6.010,29.723,34.913,190.188
6.020,30.028,34.786,190.144
6.030,30.333,34.658,190.099
6.040,30.637,34.529,190.054
6.050,30.938,34.398,190.008
6.060,31.239,34.266,189.962
6.070,31.539,34.132,189.915
6.080,31.838,33.997,189.867
6.090,32.135,33.861,189.819
6.100,32.430,33.724,189.771
6.110,32.725,33.585,189.722
6.120,33.018,33.445,189.673
6.130,33.311,33.303,189.623
6.140,33.601,33.160,189.572
6.150,33.891,33.016,189.522
6.160,34.179,32.871,189.470
6.170,34.466,32.724,189.418
6.180,34.751,32.576,189.366
6.190,35.035,32.427,189.313
6.200,35.318,32.276,189.260
6.210,35.599,32.124,189.206
6.220,35.879,31.971,189.152
6.230,36.158,31.817,189.097
6.240,36.435,31.661,189.042
6.250,36.711,31.504,188.987
6.260,36.985,31.346,188.931
6.270,37.259,31.186,188.874
6.280,37.530,31.026,188.817
